GSM519722	GSM519723	GSM519724	GSM519725	GSM519726	GSM519727	GSM519728	GSM519729	GSM519730	GSM519731	GSM519732	GSM519733	GSM519734	GSM519735	GSM519736	GSM519737	GSM519738	GSM519739	GSM519740	GSM519741	GSM519742	GSM519743	GSM519744	GSM519745	GSM519746	GSM519747	GSM519748	GSM519749	GSM519750	GSM519751	GSM519752	GSM519753	GSM519754	GSM519755	GSM519756	GSM519757	GSM519758	GSM519759	GSM519760	GSM519761	GSM519762	GSM519763	GSM519764	GSM519765	GSM519767	GSM519768	GSM519769	GSM519770	GSM519771	GSM519772	GSM519773	GSM519774	GSM519775	GSM519776	GSM519777	GSM519778	GSM519779	GSM519780	GSM519781	GSM519782	GSM519783	GSM519784	GSM519785	GSM519786	GSM519787	GSM519788	GSM519789	GSM519790	GSM519791	GSM519792	GSM519793	GSM519794	GSM519795	GSM519796	GSM519797	GSM519798	GSM519799	GSM519800	GSM519801	GSM519802	GSM519803	GSM519804	GSM519805	GSM519806	GSM519807	GSM519808	GSM519809	GSM519810
SOCS3	5.0487	5.096032	5.215282	5.29017	5.451167	5.712484	4.403416	4.998491	4.885025	5.53205	5.371991	5.304568	5.693304	5.092737	5.176388	5.347488	5.789329	5.178043	5.141672	5.577297	5.466247	4.606277	4.998891	5.247622	6.308164	5.839577	5.011222	4.780301	5.022495	5.09294	5.618932	5.35895	4.871702	4.920359	5.258442	5.04496	5.132974	6.297185	4.392346	4.772303	5.225357	5.082629	4.473677	4.950396	5.27773	5.212483	4.916752	5.006417	5.055573	5.56895	5.066536	4.959711	5.545929	5.257949	5.005208	5.143948	5.421679	4.951504	5.279715	5.096056	5.080557	5.473637	5.065788	5.411957	5.455193	5.625553	5.231737	5.200911	5.395544	5.371328	4.922803	5.634908	5.310015	5.048528	5.264209	5.185736	5.461638	5.415197	5.244998	5.268047	5.220427	5.029002	5.030078	4.618942	5.223088	5.387141	5.210624	5.396329
SP100	5.99031	5.677992	6.131301	6.03925	5.121304	5.854712	5.015074	6.544422	6.042137	6.20184	6.768113	6.018863	5.959963	5.976757	6.143405	5.753562	6.447811	5.627692	6.228849	5.52104	6.21486	6.500098	5.096852	5.687139	6.070666	6.808269	6.16549	5.539895	5.891738	5.647253	6.059442	5.777431	6.053722	5.730361	5.62302	6.815624	5.744455	6.416858	4.732023	5.476988	5.713623	6.568844	5.786849	5.283294	6.417908	6.06682	6.113369	5.801695	5.375083	5.122308	6.028158	5.225296	5.801841	4.921808	6.366528	6.100992	6.675482	6.065349	6.447811	5.771318	5.289789	5.057002	5.804615	5.770672	5.615005	5.799849	5.971464	6.58892	5.670379	5.736984	5.540939	5.713432	6.123083	5.415017	5.89337	5.385757	6.227955	5.961607	6.035677	5.442607	6.084745	6.071665	6.368812	5.222828	5.495156	5.822206	5.519046	5.744903
STX11	4.258946	3.987911	4.319118	4.103383	3.62502	4.70384	3.463408	3.562154	3.668958	4.277453	4.321923	3.790123	4.101894	4.01441	3.67322	3.61219	4.986319	4.071368	4.729554	3.970546	3.791077	4.19589	3.330536	4.181036	5.013976	4.291619	3.669688	3.572394	3.840092	3.612398	3.987052	3.700498	3.96891	3.811801	3.937443	4.132415	3.659111	4.90698	3.581542	3.697172	3.224544	3.941375	3.503746	3.208542	3.978258	4.655381	4.451174	4.116028	3.398758	4.155225	3.805904	3.926367	4.020776	3.290028	4.33863	4.145045	5.124108	3.383704	4.111299	3.989587	3.40573	3.584375	4.595743	4.133538	3.770873	3.744152	3.539384	3.333879	3.392689	3.712631	3.351657	4.372487	3.575616	3.198807	3.768974	3.304923	4.353164	3.817173	4.473814	3.699533	3.655125	4.074857	3.751024	3.251793	3.561599	3.875175	3.222723	3.514834
TANK	5.88048	6.18209	6.126655	6.089129	6.346509	6.285354	6.340999	6.502764	5.912609	6.24044	5.789249	6.239825	6.598023	6.492555	5.972462	5.597634	6.407579	6.037436	6.124765	6.676417	6.397701	6.333263	6.432274	6.931348	6.919885	6.948941	6.29117	6.070016	6.001665	6.140354	6.392007	6.120561	6.232757	6.177231	5.704862	6.091062	6.212109	6.558582	5.497753	5.925995	6.208816	6.01408	6.841127	6.022039	6.057807	6.832063	6.275388	6.54151	5.944112	5.812132	5.987847	6.607422	5.834404	5.832441	6.258451	6.439748	6.586512	6.272592	6.1453	5.846638	5.975492	6.395124	6.347373	6.391116	5.91372	6.310666	6.124479	6.214457	5.839284	7.023883	5.651381	5.657856	5.945204	5.783278	5.569476	6.310108	6.587223	5.980268	5.79833	5.55041	6.081549	5.854219	6.389511	6.887334	5.732619	6.585893	5.969815	6.180158
TAPBP	7.034848	5.70718	6.643764	6.57703	6.58118	7.310065	6.04296	6.993209	6.668273	6.804649	6.883174	6.816511	6.63254	6.651462	6.825334	6.070213	7.172093	6.462862	6.576235	6.598452	6.799643	6.801142	6.434373	6.784008	7.177216	7.542005	6.679774	6.603914	7.146209	6.157987	7.341987	6.891246	5.770764	6.490473	6.403511	6.9726	6.987648	6.777635	5.828324	6.943139	6.328195	6.803814	6.069556	6.686292	7.021723	7.043736	6.984537	6.703203	6.601916	6.202734	7.272067	6.244769	6.669908	6.331319	6.813098	6.510701	7.204349	6.504794	6.699358	6.494461	6.520968	6.964516	6.484062	6.482099	6.941741	6.556532	6.397945	6.755409	6.49015	6.375826	6.468505	7.121695	6.375845	6.614283	6.354678	6.389674	6.39927	6.398779	6.591965	5.743534	6.069314	7.05404	6.479652	5.97401	6.405805	7.151061	6.392927	6.386957
TAPBPL	7.915426	6.115734	7.162897	6.884355	7.377299	7.35814	6.097348	7.756567	7.215749	7.257027	7.281021	8.017161	8.786664	7.027503	6.853781	7.125914	8.27049	7.143653	7.497768	6.599441	6.904997	6.959851	6.62773	7.387494	7.577096	9.412642	7.086618	7.150853	7.370711	6.246712	7.611033	6.490796	5.887726	7.552038	6.504377	7.538322	7.087394	6.852928	4.961275	8.680078	5.622283	7.847236	6.933947	6.768543	6.708678	7.635462	7.468782	7.627061	6.775207	6.758352	8.431018	7.058249	7.034428	7.341392	7.06049	6.848369	7.465994	6.508969	6.769214	7.109427	6.132286	10.10597	6.888873	6.50172	8.290347	6.298723	6.454241	6.789362	6.94555	7.581226	5.156699	7.469748	6.69636	6.363867	5.907237	6.965657	6.503626	6.534381	7.59116	6.13801	7.615558	6.85154	5.875475	5.973566	6.690238	7.154509	6.599596	6.694131
TNFRSF13B	4.826388	4.488099	4.75102	4.231833	4.316935	4.424994	4.3497	4.881003	4.526412	4.902135	4.494469	5.228989	5.170506	4.780969	4.841913	4.683151	4.65528	4.563416	4.549219	4.282478	4.513695	4.260796	4.385583	4.289301	4.645654	4.83924	4.295329	4.092379	4.314325	4.52199	4.468641	4.191434	4.399881	4.07816	4.491237	4.391656	4.644267	5.360531	4.352343	4.421126	4.472019	4.470092	4.312319	3.905652	4.230212	4.640943	4.355155	4.239078	4.073388	4.63641	4.549219	4.767494	5.097067	4.120075	5.278111	5.016848	4.760686	4.176093	4.760341	4.345935	4.025805	4.439275	4.262864	4.740888	4.644726	4.444093	4.735339	4.533962	4.392438	4.799302	4.806751	5.196721	4.780789	4.926461	4.852617	4.254591	4.27122	4.787605	5.108756	5.259726	4.864846	5.556832	4.420148	5.139764	4.798342	5.15185	4.981905	4.262864
TNFRSF14	7.370048	6.631024	7.81534	7.237088	6.477221	7.235012	5.884439	7.277039	7.16383	7.392234	7.708617	7.961478	7.460592	6.93111	7.206711	7.035775	8.308429	7.248762	7.606968	6.628759	7.08912	7.709335	6.811327	6.720353	7.558906	7.171831	7.294198	6.49475	7.140133	6.229363	6.917212	6.728411	7.205968	6.708104	6.978542	7.434056	7.275649	7.491831	6.276419	7.125225	7.068006	7.545145	7.03946	7.130241	6.910078	7.514933	7.292933	7.358616	6.671223	7.057959	7.451171	6.064646	7.363143	6.67028	7.54073	7.021629	8.225774	6.322285	7.264758	6.804211	6.891867	6.086706	7.620968	6.890028	6.883239	7.529268	7.033746	7.049902	7.183265	6.651489	6.699595	7.808532	7.373692	6.50783	6.334424	6.456519	6.88147	6.81059	7.098914	6.371671	6.831044	7.325004	6.730052	8.885588	6.995921	6.770193	6.882609	6.876409
TNFRSF17	9.257257	4.72281	8.445537	5.221636	3.896854	9.404852	7.177828	2.976978	6.339021	4.327258	7.274441	8.521634	6.96758	6.657187	5.756134	3.427279	7.787557	7.341325	6.88471	5.477649	5.889132	3.717821	3.311269	5.393825	4.46909	6.301185	3.932363	4.058087	7.087596	6.382775	4.652019	5.359462	3.096229	3.26832	5.777679	5.052249	2.721814	7.225195	2.86883	3.710371	4.632143	3.326498	2.911744	2.723442	5.468929	7.083524	6.889291	7.245453	3.074397	5.707096	6.098032	6.805364	5.861178	3.709157	7.319766	7.68782	7.884142	3.081842	7.819701	4.307866	4.838403	3.36644	7.648749	4.680508	7.196262	4.00528	5.819547	6.474061	2.939452	5.912868	3.030535	4.705503	3.534528	3.925062	5.447814	4.954214	3.502782	6.817753	4.879054	2.86185	2.576998	5.593963	4.423619	2.980669	3.664713	7.330296	3.015655	3.63902
VGF	5.186062	5.096534	5.134611	4.838542	5.352853	5.739079	5.198005	6.26023	5.038728	5.50867	4.889188	5.041398	5.314284	4.999005	5.021625	5.10181	5.554601	4.812293	4.861853	4.84722	4.897404	4.920203	5.307337	4.975121	4.970502	4.978202	4.83075	5.143551	5.045416	5.2562	5.157321	5.022665	5.087593	4.850555	4.845466	5.109737	4.852541	4.967102	5.065608	6.305934	4.900071	4.816724	4.957338	4.912328	5.067116	4.997859	5.238274	5.212798	4.777404	5.601653	4.86241	5.368895	5.336064	5.489797	5.098296	4.923218	5.096325	5.018797	5.542546	5.114047	5.331842	4.995782	5.76828	5.03651	5.491827	4.605779	4.762231	4.813068	4.930417	5.317388	5.006557	5.458354	5.155685	4.989824	5.250654	5.057293	4.987982	4.982232	4.925887	5.552032	5.420954	5.050315	4.867955	4.935681	4.709617	5.21346	4.768383	4.961554
WT1	4.342522	3.454091	5.168707	3.254249	3.144443	4.888129	2.761725	4.672072	4.764571	3.577131	4.124527	4.175107	3.721809	3.464563	3.28648	3.322277	4.606262	3.557658	3.455468	4.1169	3.174468	3.157226	3.188115	4.195259	3.392753	3.106423	4.384372	3.288619	3.16257	5.701882	8.735359	3.28831	3.490722	4.572734	3.414076	3.468791	3.127269	3.721954	3.741475	3.043611	3.623417	3.005662	2.93801	3.726936	3.726178	4.094044	3.85641	6.748142	3.177886	7.491669	3.27769	3.107799	3.095792	3.16927	3.082747	3.309132	3.865207	3.20119	4.090773	2.979762	7.321839	3.269782	4.801292	7.178606	3.495309	3.312517	3.385381	2.924667	4.073386	2.885729	3.126156	3.530493	3.991481	3.736742	4.546109	3.772049	4.066828	3.898302	3.120358	3.199865	3.971287	3.507357	3.594346	3.299838	3.830282	3.590558	3.715452	6.068626
XRCC4	4.549159	4.292807	4.407667	4.589756	4.19141	4.542493	4.354866	4.375341	4.552793	4.155158	4.336335	4.154796	4.602984	4.394343	4.597129	4.510669	4.607242	4.503468	4.168585	4.541484	4.338935	4.343103	3.801847	4.224657	4.541699	4.908703	4.306986	4.635686	3.973487	4.643452	4.177121	4.350872	5.338944	5.186544	5.178032	4.414625	4.796385	4.488294	4.334837	4.365604	4.77644	4.647768	4.929135	4.330017	4.923172	4.337605	4.49547	4.668979	5.226776	4.232102	4.277046	3.747932	4.012795	4.478492	4.404923	4.437671	4.318137	4.567282	4.159947	4.713141	4.404369	4.470466	4.68821	4.181168	4.176482	4.211533	4.624116	4.131475	4.274976	3.901533	4.863735	3.945346	4.304316	4.948219	5.211831	4.419546	4.406884	4.196481	4.871855	4.35828	5.072295	4.377911	4.480944	4.474338	4.523692	4.154836	4.217459	4.467907
ZBED2	5.246406	3.593916	6.093228	3.934262	3.618802	6.801909	3.4967	3.526632	3.797212	4.540219	4.866649	4.226709	5.531991	3.979632	3.593697	3.473647	6.702021	5.969571	5.65266	4.363281	4.33403	4.283822	3.931202	4.078001	4.382646	5.065883	3.389966	4.514031	4.040816	3.361923	10.684181	5.313402	3.443093	3.977607	4.823262	6.314826	3.634952	5.883522	3.351637	3.775787	3.532604	4.20686	3.353515	3.759548	3.209261	5.835361	6.976642	4.819654	3.74935	3.553984	4.835846	4.028359	4.818004	3.154861	5.287695	5.894382	6.189269	3.579615	5.569344	5.422517	4.640294	3.672895	4.727313	4.881911	5.72603	3.790681	3.893923	3.764265	3.07853	4.256311	3.609444	5.748607	4.119404	3.453373	3.811228	3.443455	3.9059	5.095216	5.198928	3.571422	3.500015	3.31719	4.004367	3.748013	3.305796	4.087618	3.539626	3.63133
ZMYND10	4.401085	4.49982	4.375368	4.294676	3.969984	4.10421	4.541463	4.344579	4.453375	4.760287	5.285528	4.627523	3.965351	4.96209	5.056538	4.252222	4.14136	4.523119	4.409566	3.884739	5.201958	5.372699	4.301216	4.084791	4.128523	3.992294	5.246061	5.242569	4.757697	3.986967	4.419293	3.835763	4.222826	4.739148	4.064901	4.057377	5.347109	4.149954	4.650224	4.628815	5.63869	4.781891	3.73209	4.903574	4.995465	3.969638	4.309677	5.042088	6.154527	5.45587	4.183875	4.336639	4.114847	4.479376	3.940394	4.086623	3.857771	4.338148	4.174654	4.457815	5.51903	4.148881	4.101519	4.817551	4.04933	5.177589	4.676073	4.871091	5.327333	4.428351	5.27318	4.0695	5.127613	4.492625	3.997324	4.942488	4.140826	4.095772	5.99683	4.507108	4.22192	5.523891	5.415786	4.395758	5.531781	4.42295	4.498295	5.319838
ZNF219	4.836372	4.973076	4.580285	4.664269	4.764001	4.672828	4.456701	4.693182	4.828578	4.699565	4.51194	4.830856	4.739967	4.832469	4.780288	5.00438	4.606232	4.894932	4.806479	4.398387	4.683764	4.759476	4.598781	4.76023	4.653486	4.587512	4.779186	4.637701	4.954072	4.443341	4.5521	4.930814	4.665414	5.082872	4.579605	4.647836	4.873625	4.654354	4.345471	4.7164	4.841833	4.598113	5.077082	5.104615	4.458531	4.615232	4.535398	4.78281	5.129826	5.085403	5.100206	4.605512	4.856311	5.022913	4.655368	4.598178	4.292697	4.801507	4.706211	4.805892	4.884383	4.693592	4.717714	4.622982	4.728992	5.228305	4.846447	4.618863	4.993585	4.892177	4.704865	4.608057	5.034147	4.582549	4.488835	4.983042	4.616287	4.553142	4.721001	5.116606	4.769324	4.737705	4.660937	4.873222	5.046795	4.908664	4.652317	4.990311
