GSM107072	GSM107073	GSM107074	GSM107075	GSM107076	GSM107077	GSM107078	GSM107079	GSM107080	GSM107081	GSM107082	GSM107083	GSM107084	GSM107085	GSM107086	GSM107087	GSM107088	GSM107089	GSM107090	GSM107091	GSM107092	GSM107093	GSM107094	GSM107095	GSM107096	GSM107097	GSM107098	GSM107099	GSM107100	GSM107101	GSM107102	GSM107103	GSM107104	GSM107105	GSM107106	GSM107107	GSM107108	GSM107109	GSM107110	GSM107111	GSM107112	GSM107113	GSM107114	GSM107115	GSM107117	GSM107118	GSM107119	GSM107120	GSM107121	GSM107122	GSM107123	GSM107124	GSM107125	GSM107126	GSM107127	GSM107128	GSM107129	GSM107130	GSM107131	GSM107132	GSM107133	GSM107134	GSM107135	GSM107136	GSM107137	GSM107138	GSM107139	GSM107140	GSM107141	GSM107142	GSM107143	GSM107144	GSM107145	GSM107146	GSM107147	GSM107148	GSM107149	GSM107150	GSM107151	GSM107152	GSM107153	GSM107154	GSM107155	GSM107156	GSM107157	GSM107158	GSM107159	GSM107160	GSM107161	GSM107162	GSM107163	GSM107164	GSM107165	GSM107166	GSM107167	GSM107168	GSM107169	GSM107170	GSM107171	GSM107172	GSM107173	GSM107174	GSM107175	GSM107176	GSM107177	GSM107178	GSM107179	GSM107180	GSM107181	GSM107182	GSM107183	GSM107184	GSM107185	GSM107186	GSM107187	GSM107188	GSM107189	GSM107190	GSM107191	GSM107192	GSM107193	GSM107194	GSM107195	GSM107196	GSM107197	GSM107198	GSM107199	GSM107200	GSM107201	GSM107202	GSM107203	GSM107204	GSM107205	GSM107206	GSM107207	GSM107208	GSM107209	GSM107210	GSM107211	GSM107212	GSM107213	GSM107214	GSM107215	GSM107216	GSM107217	GSM107218	GSM107219	GSM107220	GSM107221	GSM107222	GSM107223	GSM107224	GSM107225	GSM107226	GSM107227	GSM107228	GSM107229	GSM107230	GSM107231
JUN	7.316137	7.06845	6.668879	8.012425	7.814708	7.636122	8.024386	6.950513	7.419795	7.332588	7.642994	7.251377	7.030147	6.707663	7.330911	7.406677	7.770812	7.061658	7.815004	7.837233	6.712835	6.882427	6.616826	7.392552	8.258961	6.548524	7.048827	6.707901	7.305894	7.349723	7.406303	7.752344	8.146039	7.361123	7.107981	7.25769	8.115795	7.253904	8.800592	7.08078	7.635547	8.131177	7.401658	7.680188	8.123143	8.253053	7.75093	8.159603	6.906908	8.720451	6.538054	8.712333	7.885138	7.596991	7.414543	8.596468	7.078137	9.11885	7.602007	8.101955	7.295863	7.522254	8.118683	9.129274	7.49801	6.853222	7.620934	6.719575	7.470545	8.284422	7.168378	8.359004	7.435581	7.301575	8.319988	7.767611	6.948076	8.009162	7.071559	8.003462	7.686205	7.252152	7.90158	7.364667	7.218271	6.97528	7.935926	7.241683	8.095904	8.218581	6.680553	7.790998	7.921715	6.708074	7.883707	7.034129	8.211322	8.917596	8.423695	8.110587	7.79754	8.152896	8.491432	9.012933	7.464679	7.267801	7.301004	7.138841	7.418558	8.736862	7.355758	7.59327	8.130705	9.197493	7.97406	7.783462	7.846542	7.619278	7.110282	7.162723	8.007707	7.599718	8.194338	7.506331	7.044464	7.982965	8.09504	7.525669	7.833523	7.743127	7.348083	7.547832	7.794068	8.491297	8.016838	7.878595	7.662159	7.74748	7.462105	7.613278	8.697453	7.778915	7.488793	7.304033	7.635728	7.25576	7.676167	7.851459	8.315653	7.525623	7.691386	7.334169	7.594005	7.088995	7.368239	7.353973	7.16944	7.807795	7.902653
LEF1	6.005137	6.244184	5.309707	5.667279	5.718383	5.329588	6.061322	5.669741	5.186398	4.993972	5.229261	5.864455	4.961705	5.216149	6.053607	5.932645	6.370565	5.680852	5.366192	5.831192	6.593488	5.473281	5.619517	6.186433	5.97479	6.324494	5.991577	5.796894	5.197353	6.343325	5.663753	5.628656	5.725156	5.533729	6.44841	6.606852	6.223083	5.962635	6.738389	5.5525	5.634803	5.352943	5.546623	5.441593	6.430436	5.856225	5.591167	5.341303	6.258227	4.493604	6.881544	6.012941	5.629372	6.125594	5.854594	6.568416	5.78491	6.88444	4.977899	6.30894	6.689216	6.11827	5.303256	6.070553	6.145086	6.427494	5.657581	6.211664	5.154511	6.557844	6.464684	5.257073	6.29075	6.100396	5.604592	5.716453	5.18256	6.230388	5.727829	6.382532	5.815527	5.28091	5.716999	6.205453	5.360889	5.710138	5.836547	5.995334	5.728235	6.300301	5.023076	5.246339	6.23174	6.481186	5.97475	6.47258	5.403431	5.64802	5.326232	5.882373	5.779357	5.658441	5.568343	5.36299	5.716795	5.308212	6.097087	3.981016	6.229304	5.712601	5.779237	5.187982	4.655312	5.877626	6.694559	4.651972	6.123229	5.923057	5.053519	6.416362	6.021728	5.377768	5.429202	5.317531	5.659961	6.057591	6.034933	5.796667	5.075231	5.91639	5.496977	4.972422	5.574417	5.709433	5.679809	5.260564	5.359738	5.243663	5.211649	4.609933	5.626029	5.238848	5.017981	4.643796	5.420646	5.452029	5.044466	5.711737	5.36743	5.399486	4.892624	6.56296	5.931788	5.704259	6.1574	5.296526	5.074129	5.94841	5.671053
MAK	5.484162	5.291354	5.583508	3.595703	3.595363	3.847648	4.965141	4.508674	4.119068	5.65491	3.24443	5.411533	3.515274	3.417745	4.275435	4.616986	4.778305	3.900267	5.224868	3.735315	3.822051	3.82844	4.480805	5.915658	4.132061	3.848415	4.842073	4.287939	3.125316	4.768782	3.215198	3.779338	5.712067	4.912056	3.879425	5.427371	5.865035	5.412379	5.172051	5.475369	5.442967	5.839633	5.23458	4.419217	4.929685	6.012618	4.323623	6.179164	5.5906	3.626902	2.544762	3.500532	6.150098	5.010064	4.816758	5.433229	4.26616	5.691685	4.543494	6.194082	6.036471	5.715424	5.379986	5.168241	5.404784	5.26945	3.507598	5.659839	5.446837	4.760616	5.520133	4.105484	5.28095	4.969641	4.767069	4.364888	3.889793	4.979808	4.610843	4.587004	5.616121	3.632393	4.870587	3.812913	3.03652	5.050713	5.336349	3.175758	3.664646	3.972361	4.497486	5.458494	4.742235	3.480924	5.159741	5.205369	5.192244	4.386178	5.396907	5.50577	4.652126	3.736877	3.497504	5.577705	5.30978	4.712085	3.106322	3.217873	4.737688	4.958126	4.276055	5.372569	5.003266	3.526709	5.575114	4.570722	4.762648	4.335679	3.360876	3.455745	3.779062	6.075286	3.482389	4.338611	3.424494	5.156704	3.72815	4.229043	3.75292	3.508605	3.912285	3.772735	2.609557	5.320177	4.657988	4.456815	5.71016	4.593874	5.781686	5.502723	4.254477	6.364522	6.215079	5.927899	5.443397	3.741454	5.097931	5.038479	5.567846	5.997315	5.475269	4.625749	5.262522	5.821663	5.032175	4.997529	3.281783	6.444677	3.019531
MED17	6.682797	6.907689	7.025725	7.087699	6.805886	7.173175	6.415029	7.09892	7.326247	6.738522	7.085974	7.001442	7.915826	6.152876	5.729508	6.472801	6.487221	7.221524	7.0251	6.928135	6.507064	6.342176	6.630943	7.280899	7.315385	6.423483	6.940851	6.268281	6.842926	6.825722	7.189613	6.732475	7.454009	6.644107	6.958026	6.901781	6.59277	7.088472	6.5459	6.646204	6.071107	6.015293	7.248699	6.723717	6.662926	7.42651	7.145077	6.304404	7.199061	6.418973	6.716087	6.838961	6.877836	7.058885	7.008076	6.601082	6.507246	6.474408	6.761161	7.266312	6.212844	6.837614	5.947807	6.677776	7.143029	6.292491	6.393566	6.742341	7.127622	6.976519	5.959946	7.095108	6.816418	7.270172	6.36903	7.179385	7.123189	6.968909	6.627943	6.797541	7.043989	6.546069	6.859459	6.563088	6.49858	7.129059	6.660297	7.124746	6.616002	6.880757	7.71456	6.90448	7.235852	6.10715	6.813906	6.653464	7.380428	7.103909	7.261558	6.641643	7.313196	6.930774	7.431376	7.012434	6.677766	6.689189	7.198466	7.295179	7.016761	7.213298	7.324228	7.133062	6.882441	6.850891	6.248843	6.784342	6.326264	6.858339	7.380665	7.087154	7.135134	6.658569	6.859218	7.724257	6.726718	7.800188	6.207323	6.765809	6.468789	6.532956	6.61567	7.3116	7.280273	6.720161	6.810163	7.117952	7.049003	7.018829	7.059536	7.158152	7.240363	6.970701	7.617604	6.420284	6.880403	6.937779	6.769557	6.645903	6.827581	6.891618	6.26097	7.242967	6.631293	6.247073	6.799725	6.806967	8.125319	7.264084	6.696326
MRPL13	7.586928	7.595247	7.096744	7.252319	6.913847	8.09058	7.24506	7.447136	7.337437	7.149361	7.343447	7.701211	7.252097	7.796307	7.259399	7.195328	8.487539	7.449192	8.201938	6.881811	6.86012	7.472973	7.350112	7.430714	7.471496	7.218911	6.70629	7.62874	7.047156	7.297067	7.598518	6.968778	7.087278	7.175565	7.363369	8.461268	7.684824	7.038559	7.634977	6.836205	7.324097	8.332695	7.43311	8.155795	7.811345	6.909103	7.220777	7.898638	7.660446	7.068184	7.452013	6.955164	7.555543	7.787776	7.170425	7.001885	7.409625	7.545864	7.167655	7.194711	7.013857	8.120557	7.011491	6.914712	7.099556	8.369706	6.908081	7.157858	7.875822	7.979117	7.370289	7.575378	7.284722	7.167563	6.984385	7.410925	8.182602	7.229068	7.531096	7.114197	7.807165	7.162858	7.229308	6.970457	7.933085	7.640701	7.212979	7.632958	7.573123	6.715541	7.365347	6.984867	7.270877	7.215592	7.055025	7.621536	6.856625	6.937505	7.89062	7.033516	7.258815	7.458068	6.926341	6.826833	7.372891	7.817423	7.329511	6.572258	7.724108	7.18805	7.340604	7.062363	6.914361	6.960479	6.621895	6.921968	6.914785	6.891139	7.652492	7.601854	8.473671	8.229343	8.288922	8.268135	7.319212	8.570765	7.52115	7.53376	7.73521	7.231401	7.584871	8.614307	6.785102	7.932393	6.587038	7.53583	6.753589	8.28411	7.804264	7.102444	7.363822	6.86406	7.17138	6.627369	7.768852	8.423815	7.575205	8.693676	7.002888	7.013387	6.997427	8.559247	7.811067	7.182839	7.360363	7.162721	8.793956	7.526827	8.283435
NFKBIA	9.049644	8.413382	8.958898	9.620925	9.185493	9.139422	9.056291	8.640051	9.21822	8.999192	9.130178	8.725021	9.040427	9.337043	9.1427	9.086351	8.753205	9.293146	9.463932	9.322195	9.962685	8.960902	8.392099	9.267708	9.398135	9.459449	9.101959	9.039856	9.508315	9.123463	9.152469	9.018332	9.319667	9.110909	8.625018	8.851167	9.046356	9.234664	9.594461	8.851532	9.566072	9.260337	9.154601	8.792455	9.200938	9.447649	9.357826	9.082358	9.15072	8.667505	9.286243	9.415949	8.911684	9.24864	8.700174	9.958267	8.349097	9.523003	9.208668	9.497258	9.121676	8.857965	9.208268	8.749155	9.19041	10.168703	8.752034	9.463716	8.330337	9.452103	8.609926	9.361576	9.156259	9.24787	8.972287	8.867007	9.819892	8.695941	9.099811	8.989684	9.542813	9.054862	8.969748	9.193826	8.939037	8.519641	9.064428	9.369451	8.847648	9.535901	9.491325	9.786684	9.305311	9.303794	9.651852	9.83601	9.689872	9.650923	9.578119	9.760701	8.88762	8.919511	8.722113	9.132485	9.308456	9.387294	8.921009	9.664611	9.300015	9.070874	9.41518	9.400335	9.253083	9.398637	10.358561	9.182744	9.365879	10.107237	8.967889	9.221413	9.585668	8.734202	9.269124	9.350879	9.473674	8.612428	8.60459	8.351255	8.546151	8.577238	8.29543	9.20118	8.67045	9.711322	9.49149	8.806922	9.236614	8.949463	8.737207	8.569618	9.23684	9.43194	8.366067	9.753322	9.071834	9.530891	9.362755	9.26758	9.188868	9.340748	9.128987	9.235707	9.573823	9.056861	8.521369	8.904232	8.733283	8.998507	8.929936
NGB	4.479737	3.129832	4.413909	2.972514	5.83353	3.924293	3.970687	2.982452	3.73197	3.910034	3.266313	3.84119	5.354029	4.216253	4.350747	3.123547	4.027518	5.08733	3.598383	2.849139	3.556888	5.163354	4.800526	3.06815	2.996761	3.641179	2.872811	3.925034	3.75123	3.149294	4.035942	4.226115	3.912677	4.403838	3.992753	3.890648	4.250653	4.093858	3.562613	4.272904	4.626064	3.808247	5.01753	3.945205	4.925904	3.257029	3.727269	3.09737	3.675513	3.88083	4.813231	5.322532	2.837044	3.847973	3.345591	4.274966	3.872133	3.381047	4.249556	3.337767	3.740737	4.097204	3.343735	4.169339	3.773105	3.527197	4.882293	5.79615	4.541013	3.473931	3.900465	4.727576	3.572061	3.604888	4.314865	4.840311	4.281016	3.434846	5.792893	3.807816	3.25492	3.709053	3.866462	3.262441	3.773191	3.933619	5.027224	3.04141	3.946467	4.224793	2.776693	4.912682	3.885807	3.79792	3.850139	4.34778	3.663119	3.700682	3.656564	3.063284	2.92962	4.789743	3.888063	4.515421	2.486879	5.196956	3.661795	3.539115	2.960187	3.987305	3.728566	3.466337	3.519201	3.425565	2.907307	3.796966	3.544907	3.628796	4.285308	4.12091	3.55464	4.334201	3.941085	3.333567	4.051522	2.960844	4.458338	3.124633	2.851457	3.882514	4.901989	3.704645	5.005985	5.455391	3.014444	5.099163	4.462773	2.924241	3.811606	3.453562	2.898603	4.16254	2.847396	3.843917	5.237545	3.355974	3.615501	3.783558	3.770022	3.611039	4.568841	3.891526	3.877379	4.359469	3.54602	4.540392	4.403093	3.075484	3.861233
NPR3	6.321804	4.970042	4.989848	5.670697	5.805413	5.552013	5.036902	5.696058	5.2486	5.867033	8.027588	5.140959	4.972918	5.377708	6.042938	5.226452	5.539782	5.181171	8.133985	4.978302	5.641287	4.632637	5.189692	6.186517	5.490927	5.432523	5.336126	4.874423	5.543584	5.480544	6.079021	4.835945	5.077384	5.184713	5.150533	5.212628	5.626759	5.218615	5.120848	5.947897	6.061831	4.465829	5.385005	7.333505	5.308867	4.937095	6.177257	6.247314	5.298639	5.468456	4.521283	5.170251	6.081988	5.367174	5.878759	5.163023	6.849485	5.969803	5.109937	5.052972	4.828911	5.23355	5.197544	5.564116	5.2293	4.596635	5.534669	5.480328	5.557236	4.492331	5.785539	4.939227	5.068387	5.25089	4.937613	4.447216	5.910996	5.348543	5.221991	4.695467	4.789668	5.100193	5.685532	5.856577	5.430934	4.964532	5.19883	4.895767	5.39875	5.10286	4.791154	6.028969	5.413649	5.032236	5.196893	5.132651	5.856964	6.192624	4.986084	6.203111	5.06779	5.229188	5.059585	5.557388	4.916591	5.626547	4.850629	4.056458	5.351617	5.677065	5.68224	5.638424	5.041969	5.359879	4.910565	5.689558	5.644058	5.00344	6.378074	5.272094	5.940293	4.839095	5.389774	5.188494	5.241116	4.70179	4.80184	4.537499	4.824647	4.565405	5.418831	6.904935	5.239507	5.54618	6.147708	5.183169	6.334251	4.603179	6.04084	5.024873	5.754656	5.316425	5.828921	5.297653	5.155895	6.851861	5.152105	5.430244	5.42735	5.995385	5.097217	5.504622	5.447949	5.374352	5.713876	4.80443	7.53221	5.054569	4.942774
NRG1	4.888602	4.918514	4.57041	4.493207	4.565545	4.850099	5.054221	4.734431	4.413543	4.983659	5.283713	4.988998	4.8498	4.32493	5.361873	5.277177	4.771798	5.857302	5.282319	4.725349	4.88266	4.969153	5.004692	4.555536	4.440983	4.87629	5.061392	4.760479	5.102364	4.75615	4.656429	5.341987	4.948704	5.316204	4.784986	4.659328	4.933755	5.114716	4.846916	4.750991	5.019496	4.681882	4.407952	5.21557	5.142908	5.029492	4.565092	4.509863	4.279199	5.34959	4.773044	5.058032	4.274738	4.644002	4.850533	5.024065	5.414358	5.446706	4.749556	4.801433	4.664097	4.674508	4.833068	5.046653	4.845739	4.525011	5.194026	5.268954	5.091425	4.863534	4.892045	5.264246	4.432995	4.158701	4.489422	4.412268	3.999488	4.617886	5.266988	4.890936	4.685547	4.713072	5.01322	4.817942	4.771093	4.785724	5.054937	4.559739	4.859524	4.588654	4.046445	4.562805	4.377888	5.092892	4.862112	4.415282	4.827373	4.716782	4.541575	4.861024	4.981218	4.791816	5.116757	4.744176	4.417491	4.821319	4.124343	4.029012	4.672045	4.499528	4.834904	4.813458	4.487774	4.933622	5.030306	4.979124	5.391684	4.812946	4.466476	4.078747	4.398584	4.733492	4.453653	4.746201	4.603437	4.554992	4.558575	4.643318	4.687773	5.061247	4.743235	4.64525	4.506185	4.827618	5.126875	4.896841	4.829596	4.596436	5.029284	4.696251	5.158765	4.648409	4.916221	5.035701	4.679811	4.867698	5.229717	4.723652	5.076834	4.794787	4.720955	4.853214	4.517254	4.693667	4.484318	4.996777	4.338878	4.575215	4.254366
NUP43	7.311131	7.101267	7.008166	8.03005	7.371092	8.630828	7.373526	7.646106	7.469845	7.605855	7.119679	7.772033	7.59935	7.22465	7.17074	7.320032	7.963596	7.42245	7.013807	7.927984	7.72556	7.793815	7.307981	8.024026	8.320165	7.581399	7.573606	7.286103	7.814481	7.245208	7.698702	7.00834	7.901661	8.006568	7.194047	7.982585	7.474663	7.459568	7.790511	7.44163	7.338231	7.11925	7.73241	6.976896	7.715802	7.575002	7.479193	7.700323	7.84999	7.42381	8.264136	7.104313	7.591707	7.143872	7.323158	7.212073	5.768072	6.908784	7.554023	7.478498	7.671538	7.624167	7.21968	6.957073	7.623467	7.2426	6.804288	7.134627	7.789703	7.345529	7.581149	7.729278	7.512917	7.527965	7.486752	8.112801	8.117378	7.660959	7.731398	7.237447	7.54714	7.516886	7.624724	6.9911	7.455747	7.403604	7.51739	7.085378	7.248304	7.119543	8.505896	7.693616	7.57957	8.507676	7.847539	7.805691	7.847525	7.603332	8.134457	8.293248	7.97596	7.55696	8.114407	8.024388	7.601176	8.156666	7.495118	8.08871	7.692381	7.765671	7.863632	7.952451	7.973864	7.550541	8.074305	7.878017	8.36819	7.412309	8.303724	7.073323	8.040878	7.487076	7.659702	7.985845	7.499941	8.385767	8.130152	7.985572	8.24815	7.575914	7.915194	8.855475	7.401162	7.648399	7.775978	8.081873	7.776544	8.057115	8.306203	7.836483	7.847124	8.123885	8.240436	8.026542	8.462029	7.557355	7.882779	8.380306	7.925221	7.75459	8.201406	8.423934	7.921533	7.805884	7.861238	8.181001	8.065134	7.99612	8.330406
PARP12	7.601768	7.704647	7.328893	7.660074	7.59182	8.037217	7.755462	7.181454	7.866677	7.252366	7.734035	7.299567	7.912406	8.157473	7.691181	7.785062	6.793837	7.667018	7.767873	7.589233	7.60497	7.822317	7.239686	7.281882	7.288019	8.392545	7.060833	7.469104	7.476201	7.673093	8.507254	7.321578	7.240671	7.294082	7.649423	7.769406	7.225433	7.903278	7.071916	7.353802	7.342696	7.251389	7.060766	6.975798	7.322723	7.323203	7.211016	6.877524	7.72041	7.044594	7.670425	7.152459	7.57742	7.129011	6.956635	7.404762	7.595611	7.337067	7.883556	7.045652	7.457536	7.380349	7.43725	7.10827	7.450067	7.323389	6.891513	7.489488	7.202421	7.851206	7.251316	7.483903	7.333888	8.047944	7.206528	7.513294	7.705438	7.214115	6.860324	7.885918	7.502627	7.525176	7.21264	7.613451	7.404706	7.694762	7.795162	7.851413	7.451601	8.090062	8.1905	7.424539	7.41075	8.008541	7.471702	8.150629	7.724049	7.524906	7.15286	7.817701	7.515406	7.737823	8.269737	7.121182	8.146706	7.975536	8.415735	7.472687	7.815109	6.978287	8.219623	7.301573	7.468838	7.500287	8.142862	7.155283	7.943807	7.930328	7.741948	7.388306	7.81882	7.385149	8.159067	7.948655	8.157362	6.902961	7.39951	7.728727	7.758782	7.809711	8.158045	7.343016	8.169597	7.675473	7.348038	7.290782	7.220535	7.743167	7.717402	7.382448	7.587267	7.43575	6.703384	8.11697	7.640928	7.996295	7.355851	7.728674	7.158549	8.021172	6.969505	8.305271	7.836291	7.564326	7.913874	7.755739	8.068724	7.364433	7.443208
PARP3	6.486838	6.511136	6.598766	6.326322	6.428257	5.953412	6.697083	6.293938	6.179923	5.656243	5.558454	5.353972	4.809027	6.276766	3.477901	6.336266	5.976281	5.807549	3.782166	6.661103	5.907878	5.818987	5.883438	4.967017	6.098347	6.182058	5.922084	5.78523	5.797762	5.350625	6.039672	6.369605	6.501795	6.389212	5.974083	6.14529	5.999562	5.884789	5.716144	6.099728	5.984712	5.645289	6.130256	5.472076	5.325671	5.846387	5.889095	6.307857	6.466929	6.089251	6.177761	6.053554	5.670502	6.056247	5.892265	6.577956	6.003983	6.072795	6.093122	6.683106	6.652228	5.783033	5.722398	6.202514	6.033236	6.500039	6.005869	5.848991	6.157592	6.075993	6.580711	6.400993	6.140197	6.494258	6.163642	6.287912	7.310264	6.443522	5.900704	6.428159	6.254189	6.668284	6.050011	6.097445	5.829365	6.689339	6.408899	5.51921	6.451016	5.750434	6.200736	6.563409	5.08075	6.031334	6.425233	6.283789	6.194086	6.378713	6.254971	6.124553	6.45598	6.051411	6.265677	6.288232	6.332688	6.696663	6.612719	6.47715	5.804018	5.904753	6.093222	6.1698	6.467317	6.031001	5.33579	5.910432	5.411099	6.105871	2.862686	5.67168	6.086066	5.461011	6.452125	5.94205	6.255754	4.262355	5.858381	6.281139	6.286421	6.085476	5.907676	4.549618	6.39509	5.3227	6.593987	5.468338	6.016843	6.201799	6.551952	6.043232	6.602353	6.635846	4.996018	6.016294	6.008071	6.219609	6.21994	6.062332	6.24607	6.247627	5.50587	6.204351	5.599817	5.165788	6.180695	4.885351	6.437082	6.266258	5.700125
PDCD1	5.801867	5.642342	5.976483	5.646896	5.736386	5.778819	6.19782	5.723905	6.166918	6.321257	5.988548	6.227574	5.944437	6.256454	6.5834	6.348541	6.833381	5.823046	6.250142	6.134107	6.082779	6.117356	6.180466	5.807184	5.947552	6.20922	6.15949	5.998048	6.139927	5.810942	5.528085	6.125712	6.03463	5.869586	6.299971	5.884069	6.100135	6.068802	4.714736	6.238335	5.39557	6.156479	5.283661	5.822655	5.36946	6.069531	5.933786	5.980508	6.104808	5.927343	6.334582	5.912848	6.096895	5.384293	5.957647	5.939015	6.74678	6.175601	6.125771	5.951349	5.896507	6.106415	6.147222	6.002933	5.877093	6.257653	6.246043	6.304382	6.282273	6.292456	6.38505	6.092128	5.973909	5.734875	6.213628	5.944698	5.967718	5.678448	6.544244	5.822387	5.945852	5.697711	5.967769	6.096957	5.956117	5.747437	5.501516	6.084219	5.959353	6.280629	6.053954	5.776688	5.925128	6.157201	5.709212	6.184674	5.992021	5.913535	6.103764	6.348295	5.954486	5.615357	5.746182	5.270507	5.902889	6.172966	5.336578	5.27706	5.754498	5.85805	6.04625	5.78143	5.575811	5.086618	6.016368	6.045696	6.251896	5.811975	5.922676	5.886799	5.71199	6.167355	6.007694	4.968813	5.819801	5.860038	6.005901	6.063241	5.780976	5.425949	6.084412	5.838154	5.729741	5.937045	6.243203	5.984059	5.835174	5.872514	6.159041	6.00338	5.734457	5.989958	5.914142	6.044104	5.792208	5.728434	5.65175	5.872825	5.469114	5.887881	5.640797	5.821149	5.953363	6.056418	5.709812	5.563037	6.193655	5.734831	5.945503
PGAM1	9.115543	8.955333	8.946638	9.112522	8.686313	9.791813	9.017934	8.597604	8.48468	8.661989	9.152074	9.158461	9.445542	9.443369	8.098668	8.52851	8.999948	9.881485	9.289868	8.829791	9.469428	9.086607	8.857166	8.52717	8.940219	8.828726	8.853992	9.327649	9.091566	9.526015	9.496159	8.808984	8.879371	8.724659	9.098562	9.456774	8.814256	9.024975	9.082906	8.680822	8.542769	9.001188	8.266985	9.395468	8.645567	8.694001	9.162092	8.451625	8.928756	8.471089	9.222244	8.557891	9.071455	8.842191	8.61126	8.729231	9.423041	8.568445	8.338624	8.791041	8.536096	8.985275	8.453383	8.377579	8.824068	8.554308	8.305034	8.932549	8.566256	9.062702	8.310517	8.595991	8.830895	9.03783	8.468799	8.763307	9.196469	8.733351	9.348266	9.725833	8.918054	8.908099	8.93254	9.111366	9.053302	9.122302	9.012927	9.299171	8.659317	8.688043	9.875454	8.885543	8.765735	8.77718	9.524494	9.30978	9.321854	9.376114	9.07586	8.947274	9.16158	8.940108	9.275043	8.889388	8.833993	9.059089	9.427269	9.690599	9.358396	9.160034	9.556017	9.243848	8.924844	9.223224	8.886066	8.976927	9.409422	9.304391	8.634434	9.3608	9.737812	9.267097	9.975562	9.377914	9.951711	9.392204	8.801156	9.418729	9.429017	9.6592	9.814487	9.220737	9.62173	9.838694	9.081649	9.696051	9.090404	9.256788	9.583952	9.198198	9.558286	8.763808	8.948269	8.518117	8.450872	9.461679	9.483281	9.083185	9.035536	9.078335	8.814708	9.127941	9.143607	9.294374	8.856223	9.653564	9.303268	9.073658	9.535412
PGK1	8.470896	8.477414	7.982845	7.712384	7.940353	8.711631	7.95333	7.762851	7.669743	8.197097	8.364703	8.008086	8.082294	8.111918	7.701309	7.717338	8.094907	8.66646	7.774896	7.53987	8.246456	8.41359	8.461698	7.815017	7.769219	7.696861	7.769224	8.134296	7.367464	8.130191	8.484737	7.578413	7.839848	7.722653	8.092389	8.224603	8.399835	8.298253	7.83758	7.823978	7.132378	8.132515	8.052122	8.488056	7.766989	7.63326	7.871916	8.147871	7.889761	7.556815	8.178639	7.632697	8.235263	8.134676	7.607528	8.017469	8.433064	7.687107	7.490456	7.881469	7.735195	8.232495	7.470776	7.585251	7.846573	8.117651	7.340534	8.158626	8.07722	8.081346	7.393216	7.791707	7.790475	7.920373	7.777332	8.115799	8.677135	7.860503	8.644807	8.313898	7.794162	8.092104	7.833196	7.862287	8.149803	8.209482	7.825585	8.235594	7.737946	7.717972	8.232789	7.580276	7.482299	7.730969	7.818828	7.718268	7.603589	7.722094	7.578502	7.329473	7.859859	7.787891	7.46763	7.590584	7.522198	8.524017	8.608041	8.214997	8.164782	7.812976	8.119001	7.612354	7.617722	7.640343	6.973355	7.603662	6.851601	7.334824	8.621899	8.610013	8.667706	8.476118	9.010451	8.46491	7.935841	8.603215	7.744939	7.790329	8.461532	8.142203	8.284273	8.977278	8.562008	9.406532	7.552254	8.577137	7.724847	7.811021	8.250516	7.67129	8.555161	7.289216	7.516075	7.359627	7.918421	8.431597	8.441155	7.839118	7.726871	7.670625	7.549012	8.057066	7.459182	8.201319	7.990382	8.742917	8.331006	7.94685	8.105895
PIK3CA	7.269039	6.71293	6.938103	6.784642	6.769415	7.147114	7.253458	6.950805	7.249545	6.864401	6.888227	7.239283	7.121943	6.863678	6.132344	6.804391	7.000118	6.914052	6.902245	6.220551	5.956438	7.205677	7.20881	6.913002	7.205995	7.008086	6.613498	6.264312	7.335881	7.634368	7.645416	7.93556	7.279466	7.126985	7.336918	7.201901	6.715175	6.682416	7.235026	6.955196	6.619329	6.64306	7.317776	7.294287	6.8529	6.84726	6.907791	6.871149	7.152516	7.258667	7.020545	6.890894	6.78092	6.869472	6.62445	7.103041	7.031922	7.028495	7.115521	7.249248	6.845677	7.274745	6.946998	6.70559	7.270221	6.904375	7.115617	6.721467	6.377939	6.801205	6.794685	7.002175	7.20768	6.641101	7.315916	6.821912	6.620085	7.095936	6.92077	7.291843	7.054617	6.952445	7.202791	6.819371	6.623099	6.269818	6.885482	7.293167	7.077076	6.974331	7.25598	7.214998	6.828555	6.585295	6.726336	6.263011	7.232623	6.290987	6.808268	6.101856	6.624322	7.17395	6.492061	7.471894	7.104759	6.27908	7.107144	6.404846	7.077307	6.722368	6.311649	6.840004	6.928866	6.963362	6.171634	7.131062	5.556775	6.473582	6.775784	7.208645	6.810191	7.187401	6.531812	7.273053	6.738594	6.254861	7.482907	6.527186	6.797024	6.391682	6.330256	7.500956	6.519535	6.188889	6.903971	7.168502	7.046895	7.213049	7.091516	7.009901	7.036672	7.132294	7.025407	6.92754	6.857975	7.634984	7.089892	7.006191	6.844083	6.954037	6.890214	6.93762	7.174238	6.51797	7.040516	7.055783	7.252491	7.311395	7.078627
