GSM177885	GSM177886	GSM177887	GSM177888	GSM177889	GSM177890	GSM177891	GSM177892	GSM177893	GSM177894	GSM177895	GSM177896	GSM177897	GSM177898	GSM177899	GSM177900	GSM177901	GSM177902	GSM177903	GSM177904	GSM177905	GSM177906	GSM177907	GSM177908	GSM177909	GSM177910	GSM177911	GSM177912	GSM177913	GSM177914	GSM177915	GSM177916	GSM177917	GSM177918	GSM177919	GSM177920	GSM177921	GSM177922	GSM177923	GSM177924	GSM177925	GSM177926	GSM177927	GSM177928	GSM177929	GSM177930	GSM177931	GSM177932	GSM177933	GSM177934	GSM177935	GSM177936	GSM177937	GSM177938	GSM177939	GSM177940	GSM177941	GSM177942	GSM177943	GSM177944	GSM177945	GSM177946	GSM177947	GSM177948	GSM177949	GSM177950	GSM177951	GSM177952	GSM177953	GSM177954	GSM177955	GSM177956	GSM177957	GSM177958	GSM177959	GSM177960	GSM177961	GSM177962	GSM177963	GSM177964	GSM177965	GSM177966	GSM177967	GSM177968	GSM177969	GSM177970	GSM177971	GSM177972	GSM177973	GSM177974	GSM177975	GSM177976	GSM177977	GSM177978	GSM177979	GSM177980	GSM177981	GSM177982	GSM177983	GSM177984	GSM177985	GSM177986	GSM177987	GSM177988	GSM177989	GSM177990	GSM177991	GSM177992	GSM177993	GSM177994	GSM177995	GSM177996	GSM177997	GSM177998	GSM177999	GSM178000	GSM178001	GSM178002	GSM178003	GSM178004	GSM178005	GSM178006	GSM178007	GSM178008	GSM178009	GSM178010	GSM178011	GSM178012	GSM178013	GSM178014	GSM178015	GSM178016	GSM178017	GSM178018	GSM178019	GSM178020	GSM178021	GSM178022	GSM178023	GSM178024	GSM178025	GSM178026	GSM178027	GSM178028	GSM178029	GSM178030	GSM178031	GSM178032	GSM178033	GSM178034	GSM178035	GSM178036	GSM178037	GSM178038	GSM178039	GSM178040	GSM178041	GSM178042	GSM178043	GSM178044	GSM178045	GSM178046	GSM178047	GSM178048	GSM178049	GSM178050	GSM178051	GSM178052	GSM178053	GSM178054	GSM178055	GSM178056	GSM178057	GSM178058	GSM178059	GSM178060	GSM178061	GSM178062	GSM178063	GSM178064	GSM178065	GSM178066	GSM178067	GSM178068	GSM178069	GSM178070	GSM178071	GSM178072	GSM178073	GSM178074	GSM178075	GSM178076	GSM178077	GSM178078	GSM178079	GSM178080	GSM178081	GSM178082
HLA-F	9.567115	10.937758	10.686277	11.413551	11.043173	10.550918	10.434401	10.428906	10.260909	10.4107	10.105812	9.82587	10.742908	10.64531	10.907651	11.021927	11.156711	10.557957	10.980143	10.428247	10.109042	8.442884	10.698702	10.500201	11.196809	10.118625	9.633657	10.239058	11.647466	11.247289	11.221384	10.311664	9.498186	10.945201	9.716232	9.423634	10.255295	11.675911	12.276728	10.194498	11.754442	10.546325	10.164986	10.55206	12.080341	10.487357	10.263382	9.965534	10.462533	11.867392	11.841247	10.300867	12.169583	10.79026	10.922491	10.739852	10.0155	11.749104	10.75307	10.322091	10.72431	9.365816	10.55452	10.191639	10.342036	10.569962	10.984774	9.512985	11.447504	10.728936	11.033962	11.456934	10.073932	10.634413	11.001042	10.45312	10.680145	11.545189	11.930488	10.406307	10.514185	10.52654	10.260562	11.345519	10.391284	12.007481	12.389462	10.538668	10.601045	11.617755	11.172657	10.41473	11.779182	12.573157	12.589735	9.974348	11.680153	10.966548	10.482714	10.211089	11.914368	11.907771	10.303811	12.471943	9.617676	10.777627	10.694232	9.848382	10.1249	10.39476	10.123027	9.972134	11.710407	10.36269	10.409305	10.144011	9.81557	10.860522	10.594074	10.86894	10.140658	10.911233	10.927904	10.63766	11.129309	11.259518	11.334206	12.388589	10.669128	9.970593	10.120568	10.287453	8.949175	9.677696	10.439969	11.344739	11.090861	11.4921	12.144557	9.736351	10.57863	9.869917	11.090483	10.385997	9.978214	10.340318	10.344566	9.461753	10.56152	11.559163	10.364466	10.69102	11.771454	10.20016	10.448043	10.709997	10.369943	10.464098	10.580756	10.95134	11.612249	10.405962	10.191993	10.915869	10.542481	10.987646	10.72905	9.65784	10.741495	10.545555	11.070383	10.998402	10.84941	11.14968	11.175315	10.250368	10.799887	10.792528	10.910265	10.013842	11.428124	12.066293	10.667695	10.597944	11.0563067	9.986504	11.29046	10.72324	10.776403	10.536434	12.57462	11.023851	10.287085	11.204996	11.442666	10.578542	11.745359	11.153021
IKZF3	4.423755	3.216009	2.994953	6.62692	5.268742	5.349665	2.88307	5.512249	3.634022	3.231352	3.356706	5.231492	6.663912	3.557623	4.166581	2.635743	5.188415	6.196224	3.023549	4.922052	3.507548	5.667598	6.373349	5.839663	3.147329	3.948773	6.237442	1.528594	5.565717	7.053731	3.926962	5.390786	5.265348	5.017605	6.047187	4.695348	4.003568	3.089413	7.226741	6.118682	5.663735	6.460417	3.436557	3.320408	6.019216	4.46032	3.657591	3.356232	3.648618	6.914489	3.715993	3.536998	6.248525	6.200031	4.033834	2.836642	5.915315	5.355307	3.061944	6.31639	4.51919	2.868429	2.077505	3.326955	6.590019	4.555554	5.443808	4.684711	4.298575	3.540821	6.50772	2.169817	2.349484	3.64733	4.995561	4.883528	3.68017	4.295815	3.520247	6.035069	5.807788	5.418578	2.74698	5.564936	6.591267	3.280297	4.602545	6.485244	3.966627	6.111068	7.069337	4.254733	4.434128	7.268404	5.033343	6.459858	6.531298	5.695958	6.573823	3.332577	6.520784	2.734306	5.788056	5.368422	3.486478	5.520384	3.4473	6.219928	2.991358	3.280596	5.615817	2.867662	2.787622	3.825814	3.856382	5.731088	6.172031	5.913222	4.539769	6.799324	3.363253	6.461686	5.83408	2.671993	6.165415	5.300625	3.806938	6.196461	2.895853	2.889378	2.758244	4.143033	4.88534	4.153653	2.326902	6.01328	5.712244	6.43748	6.376872	5.990585	5.920165	5.982385	5.781632	4.190438	5.33812	5.88365	6.465077	3.134727	3.636981	6.816439	2.802022	3.168141	6.059638	6.708165	5.972768	4.548893	6.670364	3.382621	6.508911	5.281813	6.64947	3.247077	6.141011	6.064084	5.96931	6.769895	6.503968	7.389115	2.561004	3.435718	2.834627	5.865599	3.260663	3.013559	6.421139	3.694086	5.526082	5.742722	3.324626	3.871103	4.099738	4.709099	5.631496	2.40203	6.0088567	5.765519	3.222207	5.797469	6.341692	2.878431	6.573339	4.560695	6.143854	2.885705	6.512347	5.1901	7.62658	3.463253
IL16	6.103389	7.738896	7.80547	8.757595	6.782676	8.236274	7.317694	8.492229	6.708215	8.299276	7.780307	6.604848	7.900949	6.988518	7.881526	5.945197	6.161364	6.344383	8.421314	7.430774	6.55708	6.085796	8.360749	7.408436	8.300392	6.616681	8.097977	6.960396	6.439012	8.950975	8.829125	6.075401	6.463546	8.178937	7.072817	6.232875	7.446693	8.276954	8.782048	6.983959	6.368208	7.280773	7.431074	7.212311	7.514763	8.195429	7.462422	7.348736	7.297813	8.036413	7.176312	8.000827	8.290561	7.616699	8.02921	7.112884	6.725065	7.635666	7.368285	6.539504	7.219826	7.203055	5.816555	7.48804	8.238556	7.32585	7.161597	6.886711	6.648849	6.957897	7.82177	8.346042	7.947247	7.634365	7.975931	7.027592	8.444492	8.281098	7.8106	6.213278	7.893845	6.979591	7.432701	7.471086	7.754222	7.870024	7.90543	7.593158	7.297095	7.33131	7.197059	7.358309	7.08639	8.134806	8.16477	7.089368	7.322064	7.201481	6.590638	7.196468	8.554856	8.17674	7.25944	11.31493	7.314731	8.254113	8.107734	7.720016	6.76009	7.800357	7.747966	8.046692	8.383495	7.589903	7.482915	7.814878	6.388583	8.163484	7.97243	7.562906	7.5098	7.571397	8.369016	7.495757	6.007868	7.919604	8.503218	8.17934	5.885368	7.28764	7.113833	8.441994	6.846451	6.354934	7.293891	6.890445	7.62911	8.369961	8.011909	7.56193	6.164512	7.649204	8.125598	7.714167	8.116347	7.559399	7.256003	7.446869	7.456318	8.326833	7.119228	7.825109	8.010524	6.807133	7.742427	7.902955	7.834293	7.860803	7.778701	8.220855	8.753315	7.854166	7.05592	7.262485	7.198258	7.326884	7.459152	6.59062	8.011875	8.278293	7.032659	7.124944	7.706501	7.444314	7.535907	5.676175	7.9975	7.997262	7.425369	6.432379	8.301643	7.505343	8.068854	7.230748	8.3068974	7.616369	8.245963	7.767762	7.263442	7.428712	7.947598	7.584414	6.693123	6.293615	5.875075	7.951164	10.004841	6.859743
IL2RG	8.057512	9.553462	8.440761	11.138074	7.940248	9.161305	9.859004	9.087052	7.972221	8.79637	9.76886	7.097028	9.328526	9.549359	9.101887	8.443157	8.627184	8.325377	10.002613	8.924459	7.704834	7.992357	8.85663	8.378108	10.642092	8.264319	8.632951	8.908956	8.861248	10.483326	10.709402	8.364891	7.951022	10.157961	6.493225	7.467775	8.2005	9.082272	10.80079	8.517319	8.756709	7.718754	8.319165	7.389834	9.305363	9.1667	7.269565	7.90433	7.892989	9.584514	9.604411	9.025155	11.455372	8.487487	9.555612	8.517702	7.801647	8.370198	8.434286	7.94651	8.175748	7.508703	7.734495	7.333983	8.33689	7.670421	8.771111	6.293015	8.625845	8.979273	8.697765	10.498872	7.82718	9.485176	9.102083	7.991059	9.134163	8.908886	8.048405	8.589746	7.990051	8.913696	8.555485	9.513413	7.885989	11.271703	9.506028	7.794133	7.714184	9.601689	9.210617	8.25321	8.737016	10.208555	9.932341	8.052954	7.88159	8.274728	8.472618	7.68644	9.524358	9.697593	8.729067	11.204889	8.949178	7.923897	7.657776	8.44287	8.135718	8.556016	8.519092	8.003206	10.195684	8.310474	7.746684	8.29004	8.261392	9.571992	9.969329	9.171719	8.089643	7.973201	9.117318	8.323813	8.404312	8.874966	10.314439	10.537566	8.580594	7.811378	7.419895	10.096445	7.742137	7.788152	8.024631	9.713481	9.604317	9.540438	11.745151	7.401726	7.603174	8.271738	10.875272	8.685684	8.639985	7.196211	7.707621	7.330232	7.924622	9.744958	8.908584	8.944014	10.475827	8.151651	8.677614	8.241887	8.861327	8.512702	8.700454	9.328794	11.152202	7.727654	8.11194	8.048904	8.522871	9.562677	8.172924	8.165228	7.582139	9.39561	8.566159	7.563416	8.184777	8.466773	9.12526	8.261921	10.078329	8.560635	9.386561	8.909683	10.548313	9.555002	8.950141	9.029101	10.3474925	8.432415	9.755948	8.97029	9.70418	7.764317	10.748538	8.565964	8.349425	7.717557	8.412952	8.095653	12.017282	9.554277
JUN	9.800969	8.689756	8.873742	8.671922	9.256731	9.360824	8.676997	9.557301	10.68191	8.661028	9.644038	8.913122	8.937298	8.904467	7.782889	8.487561	8.730483	9.130119	9.169557	8.861539	8.615232	9.840193	8.787209	9.017111	8.153996	10.443527	8.774637	9.398726	9.557784	9.210245	9.042695	8.9101	9.408246	8.453451	8.321905	8.5572	10.077797	9.416315	8.839636	8.921083	9.472258	8.824761	9.540089	9.200802	8.659804	9.329959	9.178537	10.011026	8.991489	8.671708	9.272104	8.622186	8.891208	10.228584	9.615186	9.030875	8.824941	8.936596	9.677011	10.385436	9.835433	8.526908	8.796662	8.985099	8.992067	8.814872	9.560039	9.359561	9.527498	9.205564	9.219637	8.965574	8.780639	9.256032	9.34908	9.246884	9.19002	9.156158	8.829231	8.91818	9.236088	9.794139	9.519378	9.514794	9.108829	9.209607	9.755361	9.31516	8.204421	8.551043	9.596408	9.103233	8.563939	7.86751	8.787438	8.872592	8.224642	9.844419	9.383882	9.567022	8.400053	8.147809	9.174248	7.493152	9.670901	9.968156	9.048429	10.006431	9.098391	8.610671	10.157948	9.214515	10.241496	9.284594	10.337798	11.104427	9.619378	10.607844	9.592997	11.147902	9.236282	10.171468	9.698867	10.628335	10.82752	9.178678	10.352614	8.761312	9.164438	9.086163	9.222218	10.407214	9.39816	9.661117	10.424425	9.108464	9.076626	9.640291	8.545384	10.100336	10.016798	9.307946	9.620424	10.199413	10.482255	10.001055	9.716317	9.566634	9.758756	8.743469	9.011854	11.64301	8.821665	8.717138	10.233353	10.313972	9.685899	9.699433	10.480933	10.425496	9.38867	9.496393	10.392341	7.872608	8.8919	8.902015	8.970972	9.151475	8.17848	8.691126	9.251192	9.247354	8.539035	8.763275	9.370256	8.575007	8.768664	8.899373	8.725075	8.807571	8.875819	9.195699	9.419889	8.535126	8.7353882	8.639217	8.504998	8.34252	9.10813	8.374083	8.964517	8.5479	9.783455	9.422406	8.614353	7.552858	8.605337	9.610783
LEF1	5.141573	7.60349	6.450343	7.245089	6.833488	6.224977	5.649877	7.354824	8.982812	6.477818	6.498932	6.630726	5.925191	6.41102	6.472489	6.216086	6.647245	5.959215	7.62426	6.408978	4.846932	6.06529	8.6047	7.406605	6.4078	6.733367	7.109874	6.234395	6.787096	6.637784	7.565533	5.383479	6.676113	6.576012	5.653654	6.002307	7.159234	7.185361	7.499797	5.988713	6.996915	7.149073	6.809494	6.157998	5.880898	5.913177	6.338318	7.191045	5.730791	6.855191	6.45203	6.830529	6.468003	6.241299	7.122806	6.895034	6.661062	5.889593	4.985561	7.153476	6.172046	6.576637	5.686814	7.394383	6.548191	7.17663	7.629872	6.055364	7.408359	6.442498	6.971722	7.103675	6.470615	8.178558	6.544465	6.33738	7.265629	7.304082	4.769528	6.668837	6.699045	5.955584	7.517519	6.789884	5.884084	6.529163	7.00265	6.507341	7.130357	5.959835	5.929716	6.667282	5.871441	6.641644	6.434193	6.969016	6.890511	4.14476	6.663032	7.052831	5.838419	6.281216	7.146831	8.801914	6.21584	6.066336	7.144646	6.012389	6.529415	5.085033	7.59528	7.137142	7.653128	7.120429	6.753814	6.854787	5.364027	7.671272	6.79939	6.617901	6.536665	6.084518	6.199165	6.559701	6.511379	5.781708	7.12141	6.694813	7.1289	7.672773	6.296085	8.020453	5.881385	6.929804	7.802159	6.687874	5.989913	6.677537	6.420311	6.125446	6.842778	6.325681	7.069125	6.383257	6.957957	7.325204	8.176259	6.362648	7.168964	6.789383	6.073263	7.282023	6.538021	5.481446	6.92996	7.0835	7.348118	6.107222	6.77254	6.60858	8.469393	6.493796	6.755031	5.796084	8.48457	6.828873	6.408442	5.329946	5.600784	6.733522	7.036163	6.089599	6.908873	6.048656	7.682446	5.665635	6.890507	6.371105	6.216071	8.005429	7.090926	6.656519	7.081933	6.850669	7.4689119	5.872476	7.892068	7.698861	5.880845	6.741447	6.550848	7.104263	7.405346	5.394253	5.847579	7.323862	8.1036	9.091444
MAK	5.411702	6.086506	6.550689	6.714551	6.890555	7.159132	5.050509	7.015937	3.558976	6.535345	2.412296	7.01228	6.076793	6.078296	6.34623	6.304074	6.869947	6.309361	5.872807	7.456981	7.525552	7.185599	6.485555	6.483669	5.212243	5.293158	6.556596	7.553917	6.962129	5.046445	7.050033	5.412589	7.146758	5.892785	7.588971	7.048455	7.187965	7.411563	7.034017	6.87067	6.929937	7.389195	7.758756	6.951173	6.886361	6.504876	6.960707	3.684733	5.294438	8.046948	6.000138	5.793935	7.589539	6.426996	5.101754	5.518849	5.023861	6.325988	5.738574	4.921772	6.541501	6.818881	7.140811	6.875198	7.26938	7.380617	6.616406	6.769837	6.104016	6.271841	7.314515	5.721926	6.659885	7.902432	6.122413	3.829773	6.610624	7.097561	4.294661	7.028301	8.281267	7.173236	7.328723	6.15674	6.002168	4.951503	7.696511	7.502136	7.250917	6.434184	7.030704	6.540653	4.641063	6.755453	5.247054	5.514529	7.920311	6.729602	7.213304	7.172815	6.669632	6.175886	7.689509	6.907131	6.897871	6.352462	6.480028	7.439637	7.520621	5.566079	3.328681	6.22177	6.03615	5.921031	5.780402	4.134078	6.225201	6.110785	4.761212	7.779021	4.923891	6.330657	5.606801	6.888353	2.735584	6.472463	6.246541	6.385317	6.418943	6.250522	6.038184	7.04667	4.013755	5.701436	4.000035	5.518666	7.451349	7.721881	3.787804	6.962336	5.980222	7.215105	5.890878	7.002864	7.368069	6.206196	7.198371	8.004571	5.336263	7.443044	6.022501	6.966902	7.017334	6.632066	6.748518	5.951037	7.151613	7.21329	7.513272	7.864618	6.916334	6.164032	7.119921	7.451654	7.438994	7.093152	7.360428	7.863524	5.935346	7.128006	4.064488	6.485887	6.455946	6.295812	6.677045	6.037641	6.27252	7.509408	6.063668	7.53275	6.701718	6.207653	7.905826	5.693108	6.9787573	6.380298	3.600793	6.239782	7.587259	6.821842	6.810878	6.490841	7.018288	7.52953	6.270283	7.614048	5.738159	5.155201
MED17	8.868274	8.970085	8.953204	8.722396	9.532313	8.794592	9.984178	8.352804	9.11138	8.3707	8.737437	8.795334	8.866986	8.26292	9.656085	9.172556	8.206163	8.914308	8.927386	8.97184	8.3173	10.2985	8.887867	8.384179	8.873279	9.074152	8.294931	8.89497	8.85072	8.162816	8.525893	7.757267	8.116499	7.446503	8.552865	8.937334	8.470373	8.472837	9.161722	9.235462	10.051025	8.838524	9.230681	8.680449	8.348866	8.955424	8.224846	9.119224	9.132016	8.621885	9.090369	8.633209	8.453688	8.971065	9.167906	8.307267	7.10057	9.336604	10.02728	9.045886	8.578893	9.191446	8.66805	8.676258	7.814827	9.265029	8.714355	9.520249	8.998675	9.123537	8.809192	9.525584	9.073588	9.1345	9.204973	8.766629	8.269876	7.960825	8.810489	8.379451	9.355287	9.02607	8.498817	9.236468	9.081723	8.764845	8.995069	8.947969	7.880631	9.162313	8.900648	9.291066	8.101827	10.069564	9.376687	9.891294	9.084673	8.354333	8.306364	9.783301	9.081894	8.912076	8.606232	9.905896	9.187216	8.107625	9.15345	8.960904	10.47722	9.312671	7.897333	9.149337	9.11079	8.741908	8.87101	9.532609	9.742073	9.660818	9.432355	8.812336	8.620822	9.163978	9.025085	9.472646	8.1569	11.03819	9.225405	8.633959	9.514183	8.408567	8.570248	8.479479	9.327915	8.353087	9.202807	8.881308	9.737774	8.440912	8.171683	9.12382	9.722204	8.811226	8.587178	9.894537	8.743241	9.207992	8.912446	9.229142	7.959755	9.403573	9.82413	8.842396	8.561443	8.95123	8.513232	9.310236	9.354062	8.950397	8.908722	8.26419	8.541699	9.572179	9.211356	9.299078	9.053786	9.606829	8.878619	8.67332	8.324138	8.576614	9.355156	8.8707	8.813623	8.649273	9.908917	9.045107	8.781001	8.626133	9.169551	8.753405	8.599198	7.893868	8.98925	8.922996	9.2545943	8.625575	8.581467	9.226792	9.937149	8.821251	9.129785	8.800844	9.408076	9.430017	9.795358	8.538584	8.52905	9.037408
MRPL13	10.858057	11.827239	10.107278	10.701383	8.760094	9.813477	11.164313	10.020936	10.869027	9.561269	10.463418	10.122058	10.720294	9.441182	13.044051	11.158174	9.964835	10.567204	10.005178	10.17104	9.599973	10.988082	10.340257	10.349599	10.880193	9.533785	9.541786	8.959308	11.172327	11.370295	10.939912	10.204155	9.838518	9.184173	9.075208	10.270692	9.361433	9.62759	9.760395	10.306223	10.957586	10.672999	11.701114	9.223265	10.283098	10.082468	9.790545	10.344387	10.786873	10.624895	11.481314	10.488016	10.512351	8.883861	10.247106	9.99111	11.022015	11.464345	11.322217	10.425797	9.977223	11.03535	10.534949	9.9935	10.691869	10.146542	9.945669	11.022157	10.588198	11.280411	9.978495	9.932188	11.053123	10.876634	11.020251	10.948492	9.957651	7.715297	11.0979	9.456384	10.055155	10.747753	9.404286	10.565556	10.571083	10.37971	9.861576	9.237541	11.130115	10.720259	10.414957	10.486691	10.597331	10.813085	10.643912	10.518811	9.291694	10.079038	10.53572	9.583386	10.284157	10.500693	9.165788	8.806474	10.441823	9.786531	9.138616	9.688282	9.286885	11.408965	11.295746	9.132127	9.809115	10.612963	9.883525	9.666396	9.659602	9.263075	8.518845	9.531641	11.198074	11.089133	9.969172	9.498627	8.946094	8.887515	9.410387	10.709694	9.741502	10.103118	9.387686	9.97497	10.553953	10.330593	9.350758	9.687242	10.810465	9.868351	9.197101	9.720072	10.616556	10.925268	9.760543	10.61637	8.943453	9.437865	9.79123	9.871135	8.26593	10.919132	9.298956	9.216196	9.333449	10.409424	9.124962	9.804229	9.393525	9.531956	8.449898	10.494215	9.360162	10.460194	9.658996	9.7783	10.141988	10.664776	9.911168	10.51415	10.170353	9.839687	11.006955	10.711637	10.605185	11.688854	10.526252	11.445394	11.876766	9.968523	10.604194	10.374081	10.076917	10.454216	9.38218	10.546543	10.7887807	10.621628	10.684945	10.063969	10.119804	10.345834	11.070463	9.783359	10.043813	10.896181	11.805313	10.213258	10.058767	9.806425
NFKBIA	12.324413	12.609488	11.942858	12.834929	13.247703	12.224375	12.71198	11.718726	11.139403	11.970875	12.923925	11.670017	12.230024	12.121084	12.756362	12.695922	12.225753	11.971657	12.438223	12.568366	11.940491	12.117459	11.965334	12.976363	11.931436	13.820508	12.239966	12.139078	11.89137	12.781526	12.455772	13.235496	12.310353	12.91022	12.008255	12.744208	12.306893	12.184487	12.353508	12.520157	11.164518	12.706839	12.215291	13.125984	12.253053	12.665592	13.36393	12.699111	12.021416	12.423777	12.857576	11.92562	12.188413	12.864716	12.413417	12.256203	11.736303	11.98873	12.07177	12.684559	12.183379	12.024368	12.170665	12.364786	12.501257	12.396067	13.096845	12.946144	12.832252	12.8341	12.734966	12.183972	11.72295	12.303595	12.074442	13.508552	12.495667	12.660887	13.135583	12.314982	11.947134	12.852778	12.170708	12.389001	12.279459	13.677538	13.379241	11.835211	12.082954	12.379275	12.692639	12.572732	11.964011	13.634114	11.860619	11.047124	12.652693	12.29389	13.088721	12.683248	12.392706	12.688284	12.365895	13.160573	12.645946	12.896391	11.971575	12.646323	12.080575	11.737743	11.95056	12.21497	12.785421	11.955544	11.751719	12.320731	12.398188	12.105849	11.897317	13.378917	12.405639	11.84596	11.984181	12.29163	12.700633	12.470597	13.129393	13.126288	12.424822	11.559548	11.970407	12.621851	11.218597	11.04798	12.277555	12.390956	13.693752	12.216207	13.656625	11.581682	13.173012	12.520773	13.038624	12.513372	12.456294	12.110583	11.778415	11.759842	12.420893	12.494251	13.013621	12.890324	13.146366	12.04842	12.429639	12.234031	11.581953	13.331638	12.787254	13.402147	12.56435	13.076697	12.387104	11.716926	12.347358	12.022618	12.933815	10.752469	12.632337	12.017751	12.247013	11.653606	12.217163	12.063376	11.477811	12.554954	12.856744	12.892291	13.237362	12.281892	12.582694	13.314668	12.537351	13.274418	12.4848615	12.58063	12.393612	13.09663	12.220391	12.074384	12.750314	12.370605	12.534233	12.736906	12.28791	11.72216	13.312174	11.796041
NGB	4.408422	4.069161	7.564328	5.965894	6.572627	3.875508	5.624359	6.255819	5.193423	5.469971	6.033709	3.91494	4.611014	4.702195	6.333745	4.968102	5.515101	5.800887	5.173692	4.118592	6.903151	4.564394	6.220977	6.168779	5.447486	6.306348	7.049328	5.022878	6.682897	7.076982	3.783826	6.306779	6.978758	5.603076	3.175593	4.887521	5.020837	6.47564	7.28876	4.934002	7.063928	4.930849	3.758301	5.66089	6.173922	6.15927	3.354465	3.72636	2.723959	6.299518	5.734975	5.454251	3.279934	3.750699	6.662222	5.597003	5.818931	3.77302	2.929827	4.107005	5.969902	4.929723	3.805585	4.35394	5.601311	5.799401	4.520102	4.316412	4.206773	5.251976	5.271148	5.840962	5.112322	6.778165	6.856225	4.22854	6.704497	5.971006	5.964476	5.801428	7.416379	4.155529	4.517223	6.218509	5.44885	5.841023	5.605203	6.64949	5.139887	5.580514	5.068964	3.737009	5.848931	6.313042	6.048312	4.913266	4.321735	4.715268	5.110406	5.855852	3.327413	6.148727	5.212345	6.371041	6.361253	6.265578	6.428885	3.141126	5.705601	6.651234	6.156682	2.782872	4.000649	5.656198	4.09075	5.227752	5.1471	2.966023	5.682004	4.318302	4.050632	5.486603	3.367498	4.637766	3.319764	4.544345	4.489024	4.228284	4.515721	3.866373	4.687711	5.457622	4.138123	4.622272	3.710943	5.633192	3.290009	3.043918	6.719696	5.47464	4.791882	6.322116	6.468808	3.361311	5.570195	4.173737	4.458185	4.51031	5.468178	2.688351	5.198853	3.956056	4.633311	3.712951	4.537776	3.792249	4.032786	4.520476	4.576241	3.448495	4.501018	3.909753	4.519005	3.799031	6.707788	6.390724	7.005573	4.279596	6.202789	3.13089	6.424284	4.230797	3.605824	5.717386	3.601524	2.974816	6.218903	5.495646	5.123977	3.311704	5.954842	4.500716	5.1076	5.750071	6.6694951	5.978644	3.506985	4.651071	6.672954	5.393447	4.621686	6.921542	4.258299	4.873607	6.530754	6.341537	7.031054	5.957231
NPR3	7.02043	4.573351	7.869172	5.553022	7.939834	7.769671	8.249286	7.381746	3.927621	6.243018	6.015891	6.216442	7.993101	5.879658	6.189387	5.373826	7.789609	5.314066	6.888146	6.701696	7.142534	5.122435	6.147952	6.038442	5.426723	6.768583	8.126213	5.989926	7.886067	5.633845	6.370302	5.871458	6.42294	8.131154	6.157183	6.124846	6.246682	5.145937	5.815847	7.716711	6.396438	5.970034	8.632251	7.534212	6.367945	7.038593	8.132425	5.120737	6.106734	6.083538	8.983908	6.173519	7.300636	6.033047	6.289928	4.412302	5.097278	6.95491	8.015722	5.439016	7.009139	5.734065	5.832688	6.049807	7.133113	4.569107	6.127278	6.070226	5.830094	6.650408	5.461111	6.987136	6.400015	8.691502	7.330341	7.047073	7.957663	6.089049	8.220659	6.208185	8.19531	8.544567	5.745839	7.904879	6.218789	7.085746	6.634157	6.938253	6.144583	6.319609	7.927832	5.98992	6.932612	5.157281	6.540017	5.662047	6.242968	7.485764	6.738605	6.723567	6.418331	7.433491	6.134435	5.779123	6.586336	6.217882	6.25644	7.923555	7.340911	7.961501	5.580781	6.805788	8.939599	6.72665	5.490654	5.041281	6.43631	6.661994	5.346169	6.846179	5.76304	6.652306	7.325156	6.68079	8.969559	6.916476	7.103554	7.231074	9.090089	5.902654	6.89799	4.830372	5.603653	7.682969	6.408267	6.869503	4.960644	8.171937	6.25158	6.885487	6.399534	5.322673	7.228555	6.75397	6.97543	7.029462	6.268544	8.181939	7.779538	5.770559	6.160293	5.718464	5.244267	6.257926	7.296959	7.348362	7.615984	6.254236	6.789074	6.245505	7.381081	7.008815	7.001864	6.734906	5.67369	5.338231	6.355687	5.421674	7.955574	7.28012	5.175074	8.334034	5.643134	6.453842	9.216404	6.238564	5.746229	6.948225	8.62068	7.202387	7.177138	6.272645	7.971761	4.804412	6.5710065	5.820214	6.188576	6.759452	6.361955	6.457367	5.995584	7.766561	6.969852	6.821798	7.543982	5.566902	5.850391	4.732359
